,TCGA-A2-A3XY,TCGA-A7-A26G,TCGA-A8-A09X,TCGA-AC-A2QJ,TCGA-AO-A03U,TCGA-AR-A1AR,TCGA-BH-A0BL,TCGA-BH-A0RX,TCGA-C8-A26X,TCGA-D8-A27M
ADAM21P1,0,0.049184213,0.023599624,0,0.005316869,0.031123745,0.006146105,0.008920625,0.099669711,0.012156252
ADAM22,0.243170417,2.49244296,0.581198056,0.008803903,0.180295417,0.1591957,0.450595322,0.189273161,0.479907467,1.093878292
ADAM23,0.450487891,1.226750484,0.489809507,0.069692424,0.344449631,0.470477025,0.641497951,0.263273063,0.502213649,0.619089439
ADAM28,0.795054336,2.224429807,1.275350508,0.683373907,5.150909249,2.456280709,1.997411938,0.734144282,1.867949947,3.663729261
ADAM29,0.004132571,0.028621298,0.003051801,0.057091865,0,0,0.009537451,0,0,0.009431962
ADAM30,0,0,0,0,0,0,0.004793672,0,0,0
ADAM32,0.182598621,0.219543558,0.039819862,0,0.152918207,1.143403072,0.214949693,0.203200014,0.005733192,0.137053144
ADAM33,1.763834292,0.352645075,0.062322856,6.596601786,0.494945438,0.470554149,0.744997726,0.590126735,0.243470975,0.272070621
ADAM3A,0,0,0,0,0,0,0,0,0,0.004683744
ADAM3B,0,0,0,0,0.014627719,0,0,0,0,0.016722082
ADAM5,0.004315871,0.003985439,0,0,0,0,0,0,0,0
ADAM6,0,0,0,0,0,0,0,0,0,0
ADAM7,0,0,1.005695991,0,0,0,0,0,0,0
ADAM8,10.44965796,2.204334565,2.487331265,6.515827594,4.866072841,8.215926514,5.937006613,6.603018866,6.894841677,8.204594983
ADAM9,10.40368654,26.0920785,20.20975702,3.314298694,53.95527068,34.88661211,16.86439386,7.348004111,17.71201392,45.24236276
ADAMDEC1,4.892242823,9.487600415,4.287636117,1.160036404,11.26922334,14.16117651,4.252938516,5.885329497,9.384787724,8.135244786
ADAMTS1,14.20320422,8.191326732,39.45815057,2.752256157,26.51429874,7.678456701,21.34468856,12.98871085,4.633584385,13.24309329
ADAMTS10,5.102253469,1.060312628,0.755490055,2.087211729,1.066492279,1.185540192,1.608900149,1.055540069,0.753922225,1.30785856
ADAMTS12,4.7508333,14.77129835,5.754325142,7.886310908,4.949847697,4.005342429,13.30302942,2.776712952,3.806358378,9.021510119
ADAMTS13,1.216222598,0.15930584,0.254794354,0.793386469,0.127005911,0.371731917,0.614628839,0.339499495,0.124422711,0.22393762
ADAMTS14,4.405867364,1.715001891,1.010934921,8.798726097,1.326905384,1.010171988,2.736136686,1.075968951,0.90345262,2.524593212
ADAMTS15,4.693120064,0.456822763,0.916509618,1.700686305,0.320556672,1.417915292,3.540271519,1.413617985,0.534596613,0.383785484
ADAMTS16,5.712504782,6.277440766,1.348817338,0.158756561,0.414955174,0.646111897,1.141040234,2.113244863,1.168773138,3.287031356
ADAMTS17,2.246121035,0.624728423,0.328652875,0.047779137,0.228094445,0.203627287,0.441171349,0.14757563,0.181653551,0.374938209
ADAMTS18,0.713316844,1.164220816,0.084391568,0.005360827,0.149037135,0.308761102,0.333928267,0.089525515,0.028743224,0.199823619
ADAMTS19,0.184359816,0.716709843,0.023531257,0,0.004544114,0.006650053,0.010505658,0,0,0.018181553
ADAMTS19-AS1,0.062640523,0.216917398,0,0,0,0,0.018070801,0,0,0
ADAMTS2,24.47521362,24.05634543,13.7878151,26.50623766,9.320560905,9.347606183,38.84708288,15.16063348,13.07948104,34.13784612
ADAMTS20,0.003399299,0.061211322,0,0,0.00339334,0,0.0333419,0.008540002,0.002650473,0.001939595
ADAMTS3,0.500952956,2.416561931,0.209817443,0.163096148,0.345200835,0.831957173,1.177705786,1.224098095,0.338130315,0.437288153
ADAMTS4,24.49504184,4.082866535,2.885088688,4.92616969,1.378068695,8.054141545,5.66414161,7.558774549,17.53975134,4.212333508
ADAMTS5,1.386378092,2.438720674,2.105827784,0.332063469,0.858861598,4.115521339,2.449878583,2.235477577,1.846135786,1.668958306
ADAMTS6,0.642239016,1.206037438,0.265255882,0.035519626,0.321273674,0.363818795,0.65820577,0.413899521,0.304713742,0.601737292
ADAMTS7,5.342333056,1.151351527,1.799143145,3.387763348,0.826570189,0.767655303,6.679206438,1.720186222,1.88222532,1.548209509
ADAMTS7P1,0.083321532,0.027979007,0.007458288,0.179915961,0,0.009836168,0.072839228,0.016915335,0.232305393,0.023050747
ADAMTS8,0.563328452,0.077904183,0.353703911,0.027702546,0.374893911,0.185529085,0.329733184,0.401098768,0.398917571,0.093167469
ADAMTS9,5.141370479,27.39234526,2.199252215,3.263194285,0.731714652,4.404517052,4.152040599,2.640645418,2.264546235,2.618602855
ADAMTS9-AS1,0.37906125,4.10233284,0.036626001,0.020607054,0.019450298,0.163885995,0.128771034,0.083067466,0.05248234,0.088940588
ADAMTS9-AS2,0.059569994,0.28447613,0.055302917,0.044551499,0.03398032,0.028179355,0.115876012,0.048460261,0.021233103,0.058268316
ADAMTSL1,0.615816926,1.207234577,0.846043181,0.640055182,0.621267157,0.899178206,0.673950874,0.746555159,0.342450685,0.66649658
ADAMTSL2,2.450192692,1.701203797,2.534334893,0.891736994,1.137565506,0.707428027,2.699817055,1.983537374,2.893367818,1.931137658
ADAMTSL3,2.942820169,0.438158021,0.728748684,0.067899598,7.544447664,0.337979604,0.777603938,0.591793954,0.56675014,3.283384363
ADAMTSL4,4.361302581,0.850011328,1.082521462,1.188310876,1.667723684,2.594380965,2.369483188,1.346165632,1.148938,2.279943542
ADAMTSL4-AS1,0.206556049,0.151726357,0.145603021,0.163842583,0.06560716,0.25146095,0.216684202,0.047175206,0.08052707,0.053571887
ADAMTSL5,0.315785996,0.166185655,0.531595911,0.345651354,0.549114475,0.128972508,0.133220436,0.176298626,1.403200603,0.18212077
ADAP1,1.247421294,0.094308931,0.37709514,1.527600665,1.029199589,0.362334627,0.628529727,0.553875317,0.326105565,1.54284494
